flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
1,"(-3, -3)","(-3, -3)","(0, 0)","(0, 0)","(0, 0)",117,0.00585
1,"(-3, -3)","(-3, -3)","(0, 0)","(0, 1)","(0, 1)",634,0.0317
1,"(-3, -3)","(-3, -3)","(0, 0)","(1, 0)","(1, 0)",599,0.02995
1,"(-3, -3)","(-3, -3)","(0, 0)","(1, 1)","(1, 1)",3727,0.18635
1,"(-3, -3)","(-3, 1)","(0, 1)","(0, 0)","(0, 1)",609,0.03045
1,"(-3, -3)","(-3, 1)","(0, 1)","(0, 1)","(0, 0)",117,0.00585
1,"(-3, -3)","(-3, 1)","(0, 1)","(1, 0)","(1, 1)",3647,0.18235
1,"(-3, -3)","(-3, 1)","(0, 1)","(1, 1)","(1, 0)",612,0.0306
1,"(-3, -3)","(1, -3)","(1, 0)","(0, 0)","(1, 0)",616,0.0308
1,"(-3, -3)","(1, -3)","(1, 0)","(0, 1)","(1, 1)",3612,0.1806
1,"(-3, -3)","(1, -3)","(1, 0)","(1, 0)","(0, 0)",116,0.0058
1,"(-3, -3)","(1, -3)","(1, 0)","(1, 1)","(0, 1)",638,0.0319
1,"(-3, -3)","(1, 1)","(1, 1)","(0, 0)","(1, 1)",3643,0.18215
1,"(-3, -3)","(1, 1)","(1, 1)","(0, 1)","(1, 0)",572,0.0286
1,"(-3, -3)","(1, 1)","(1, 1)","(1, 0)","(0, 1)",639,0.03195
1,"(-3, -3)","(1, 1)","(1, 1)","(1, 1)","(0, 0)",102,0.0051
1,"(-3, -1)","(-3, -1)","(0, 0)","(0, 0)","(0, 0)",606,0.0303
1,"(-3, -1)","(-3, -1)","(0, 0)","(0, 1)","(0, 1)",104,0.0052
1,"(-3, -1)","(-3, -1)","(0, 0)","(1, 0)","(1, 0)",3597,0.17985
1,"(-3, -1)","(-3, -1)","(0, 0)","(1, 1)","(1, 1)",675,0.03375
1,"(-3, -1)","(-3, 3)","(0, 1)","(0, 0)","(0, 1)",126,0.0063
1,"(-3, -1)","(-3, 3)","(0, 1)","(0, 1)","(0, 0)",624,0.0312
1,"(-3, -1)","(-3, 3)","(0, 1)","(1, 0)","(1, 1)",610,0.0305
1,"(-3, -1)","(-3, 3)","(0, 1)","(1, 1)","(1, 0)",3695,0.18475
1,"(-3, -1)","(1, -1)","(1, 0)","(0, 0)","(1, 0)",3655,0.18275
1,"(-3, -1)","(1, -1)","(1, 0)","(0, 1)","(1, 1)",621,0.03105
1,"(-3, -1)","(1, -1)","(1, 0)","(1, 0)","(0, 0)",590,0.0295
1,"(-3, -1)","(1, -1)","(1, 0)","(1, 1)","(0, 1)",106,0.0053
1,"(-3, -1)","(1, 3)","(1, 1)","(0, 0)","(1, 1)",612,0.0306
1,"(-3, -1)","(1, 3)","(1, 1)","(0, 1)","(1, 0)",3656,0.1828
1,"(-3, -1)","(1, 3)","(1, 1)","(1, 0)","(0, 1)",97,0.00485
1,"(-3, -1)","(1, 3)","(1, 1)","(1, 1)","(0, 0)",626,0.0313
1,"(-3, 1)","(-3, -3)","(0, 1)","(0, 0)","(0, 1)",106,0.0053
1,"(-3, 1)","(-3, -3)","(0, 1)","(0, 1)","(0, 0)",632,0.0316
1,"(-3, 1)","(-3, -3)","(0, 1)","(1, 0)","(1, 1)",674,0.0337
1,"(-3, 1)","(-3, -3)","(0, 1)","(1, 1)","(1, 0)",3663,0.18315
1,"(-3, 1)","(-3, 1)","(0, 0)","(0, 0)","(0, 0)",617,0.03085
1,"(-3, 1)","(-3, 1)","(0, 0)","(0, 1)","(0, 1)",92,0.0046
1,"(-3, 1)","(-3, 1)","(0, 0)","(1, 0)","(1, 0)",3608,0.1804
1,"(-3, 1)","(-3, 1)","(0, 0)","(1, 1)","(1, 1)",594,0.0297
1,"(-3, 1)","(1, -3)","(1, 1)","(0, 0)","(1, 1)",600,0.03
1,"(-3, 1)","(1, -3)","(1, 1)","(0, 1)","(1, 0)",3717,0.18585
1,"(-3, 1)","(1, -3)","(1, 1)","(1, 0)","(0, 1)",119,0.00595
1,"(-3, 1)","(1, -3)","(1, 1)","(1, 1)","(0, 0)",620,0.031
